"","Ozone","Temp","Press","RH","WindDir","WindSpeed","Rainfall","VPD","OzoneG","TempG","PressG","RHG","WindDirG","WindSpeedG","RainfallG","VPDG","OzoneP"
"4",46.05,83.7,29.72625,68.5,218.5,6.5,0,12.4178452915429,33.85,83.425,29.7225,70.5,145,0.5,0.24,11.5321342077502,37.5
"5",49.975,82.6,29.71225,69.75,33.25,7.5,0,11.5156190074938,37.475,81.2,29.72275,75,172.5,1,0.24,9.10233340357712,34.9818181818182
"6",47.8,80.85,29.708,71.25,34.25,5.75,0,10.3407853861352,43.9666666666667,82.8,29.7136666666667,71,175,1.33333333333333,0.24,11.1086001209657,40.975
"7",44.5,79.65,29.716,73.75,237,3.25,0,9.08132026139928,44.725,80.65,29.7065,72.5,154.75,0.75,0.24,9.83715229971757,43.5
"8",41.1,75.925,29.71825,82.75,180.75,1.75,0.015,5.29786201407843,37.825,77.65,29.71425,78.5,159,0,0.245,7.0234714612511,44.8
"9",37.3,74.2,29.7305,89.25,235,0.5,0.02,3.10420281752225,33.925,74.925,29.71275,87,120,0,0.25,3.84590692467273,41.075
"10",35.125,73.9,29.74775,91.5,204.5,0.25,0.02,2.43106198312236,26.4,74.525,29.71825,89.75,134.25,0,0.25,2.991352118116,38.95
"11",30.225,73.875,29.743,90.25,61.5,0.75,0.02,2.78635155115788,21.35,74.325,29.73625,90.25,100,0,0.25,2.82718300717648,38.7
"12",32.375,73.225,29.755,86.75,41,1.5,0.02,3.70173425100322,21.2,73.525,29.7325,89.75,108,0,0.25,2.89070289285103,38.7
"13",35.075,71.625,29.77,88.25,66.25,0.75,0.02,3.11360270765282,35.75,73.95,29.75025,82,132,0,0.25,5.15151732215423,36.275
"14",38.275,70.625,29.77525,88.25,48.25,3,0.01,3.0064083084937,37.05,72.95,29.76325,84,162,0,0.25,4.43445846906209,37.775
"15",39.275,69.55,29.8065,89.25,104,1.75,0,2.65214154517382,38.35,71.6,29.77,84.25,182,0,0.125,4.16529482288309,40.65
"16",37.7,68.15,29.81,90.5,51,2.25,0,2.23209321145352,36.8,70.55,29.795,86,206,0,0,3.57362247013243,40.575
"17",37.675,65.9,29.8025,90.25,182.25,2.25,0,2.1244113004795,37.475,69.425,29.80075,86.5,163.75,0.25,0,3.31751978044052,40.125
"18",37,65.225,29.80875,91,58,3.5,0,1.91234661824174,36.425,67.975,29.797,87.75,199.75,0.5,0,2.86345810213351,38.825
"19",35.725,65.15,29.82825,90,37.25,3,0,2.1192899963567,38.4,66.925,29.80375,86.25,198.75,0,0,3.09633955720996,34.525
"20",36.05,64.925,29.8335,89.25,129.75,1.75,0,2.26031254526,38.475,66.1,29.81825,85.5,173.75,0.25,0,3.17574350509878,29.25
"21",38.25,65.075,29.846,87,137.5,1.5,0,2.74907553059007,37.4,65.5,29.81975,85.5,176.5,0.5,0,3.11165222555165,35.5
"22",36.275,65.875,29.85425,84.75,174,1.75,0,3.31872531611884,37.8,64.975,29.83575,85.25,190.75,0.25,0,3.10691055231708,33.575
"23",41.4,67.35,29.8635,80,233.5,2.5,0,4.5773752681922,37.7,65,29.841,85,201,0,0,3.16236682246837,36.125
"146",32.85,75.05,29.697,83,127.5,4,0.21,5.05134277807028,26.9666666666667,73.2333333333333,29.6853333333333,84.3333333333333,74.3333333333333,1,0.07,4.38279300319603,23.575
"147",35.65,75.7,29.686,79.75,160.5,4.5,0.21,6.14759774707236,31.05,75.15,29.67825,78.75,115,0.75,0.07,6.35507332397034,29.525
"148",37.2,75.75,29.66575,78.25,141.25,6.5,0.21,6.61183633330196,38.85,77.425,29.665,74.75,142.5,1,0.07,8.12390373821611,34.125
"149",38.075,75.4,29.65075,80.5,127.5,6.5,0.21,5.8600816006281,43,78.5,29.636,74,75,1,0.07,8.6563195730503,38.725
"150",40.65,74.475,29.64175,80.75,133.75,6.75,0.21,5.63152309111198,37.65,77.525,29.6225,74,292,1.5,0.07,8.38916223499561,33.35
"151",42.4,74.725,29.6515,78,151,5.25,0.21,6.46499616835369,37.55,76.075,29.62525,76,222.75,1.25,0.07,7.39360012119109,32.85
"152",41.25,69.825,29.66775,83,266.5,6.25,0.2325,4.38981971284006,38.65,68.725,29.66,84.5,173.25,0.5,0.2325,3.99553899600409,35.125
"153",38.875,65.45,29.6585,94.5,116.75,5.25,0.4225,1.17821853710198,35.25,64.85,29.65425,95,178.5,0,0.48,1.04918705830191,42.575
"154",38,65.7,29.65625,94,188,3.25,0.43,1.2961301169545,34.05,64.7,29.6575,96,162,0,0.5,0.834535214061752,38.125
"155",33.675,65.525,29.655,94,98.5,1.25,0.43,1.28831819695579,30.8,64.9,29.6495,96,162,0,0.5,0.840371015004763,39.65
"156",29.625,64.825,29.66325,95.25,153,0.25,0.43,0.995564225779606,27.45,64.575,29.65075,97,162,0,0.5,0.623171311521589,37
"157",25.225,64.375,29.66825,96.75,258.75,0.5,0.43,0.670820397277597,24.725,64,29.66225,97,162,0,0.5,0.610787986281708,35.85
"158",20.525,63.525,29.66675,97,208.75,0.25,0.215,0.600716899841401,18.6,63.525,29.6665,97.5,162,0,0.5,0.500145369038813,32.475
"159",17.725,62.8,29.67175,98,228,0.25,0,0.390400157074572,20.8,63.875,29.6655,98,162,0,0.375,0.405403931312122,21.45
