,Ozone,Temp,Pressure,RH,WindDir,WindSpeed.mph.,Rainfall,VPD,OzoneG,TempG,PressG,RHG,WindDirG,WindSpeedG,RainfallG,VPDG,OzoneP
1,32.0173913,53.65217391,29.83817391,54.34782609,278.3913043,4.347826087,0,6.427343163,31.5,49.8,29.834,55.75,111.5,1.75,0,5.408746424,25.4
2,37.8,57.8,29.83975,41.25,297,9.5,0,9.607035987,35.3,55.275,29.832,45.25,144.25,2.25,0,8.195687778,25.825
3,41.85,59.375,29.831,38.5,293,10,0,10.63368595,39.75,58.8,29.82925,39.5,142.75,2.25,0,10.26263444,39
4,40.9,60.575,29.819,37.75,313.75,8,0,11.22772464,41.4,60.8,29.82325,35.5,181.25,2.5,0,11.73621816,37.325
5,41.4,63.2,29.8025,36.5,296.5,7.25,0,12.57461362,43.025,62.85,29.8045,33.5,129.75,2,0,13.00666535,39.025
6,44.8,63.875,29.79125,35.5,272,10.75,0,13.07468365,44.675,64.55,29.79175,32.5,146.25,2.75,0,14.01093657,42
7,44.85,64.925,29.77125,35.75,296.25,9.25,0,13.51261302,44.8,64.8,29.7835,32.5,160,3,0,14.13445913,43.275
8,46.325,66.075,29.74875,33,290.25,10.25,0,14.66763705,44.725,66.55,29.7585,33,101,3.5,0,14.91161047,43.575
9,46.475,66.8,29.7325,34.25,279.25,7.75,0,14.75536534,45.75,67.525,29.736,30.75,120.25,2.75,0,15.93604426,44.25
10,46.5,66.65,29.724,34.25,280.25,6,0,14.67933797,46.15,67.3,29.72025,32.25,121.25,2,0,15.46819498,45.5
11,45.075,64.925,29.72725,36,267.25,2.75,0,13.47901888,45.75,66.4,29.71325,32.25,167.25,1.75,0,14.99808825,46.625
12,33.8,58.775,29.72525,47.75,217.75,0,0,8.93891431,44.8,64.9,29.7175,33.5,120,1,0,13.97370979,47.875
13,32.125,55.175,29.73075,64,241.25,1,0,5.359405365,38.975,59.025,29.7125,45,105,0,0,9.438982644,40.9
14,35.075,53.3,29.7305,76,206,1.5,0,3.333600598,37.15,56.875,29.722,57.5,86.75,0.5,0,6.720695068,14.925
15,38.475,52.15,29.72525,80.5,204.5,1.75,0,2.596011157,42.15,55.8,29.722,68.5,92.75,0.75,0,4.790167103,15.125
16,38.375,52.95,29.75525,74.5,227.5,4.5,0,3.547170696,44.575,55.025,29.7305,72.5,112,1,0,4.066308129,33.275
17,37.25,52.025,29.7925,53,113,5.25,0,6.236050817,39.25,54.025,29.7735,53.25,184.25,1,0,6.648637127,34.05
18,36.6,49.1,29.79575,60.25,114.5,2.5,0,4.728240163,36.975,50.8,29.79175,55,302.75,0.75,0,5.715226868,35.65
19,31.25,45.8,29.81425,71,218.75,0,0,3.050650667,31.8,47.2,29.79675,64.5,201,0,0,3.933741534,30.825
20,24.875,44.175,29.8305,77.5,220.5,0,0,2.22597232,25.8,45.75,29.8205,72.5,74,0,0,2.882686366,29.575
21,21.65,43.275,29.85025,81.5,189.25,0,0,1.763534391,21.1,44.3,29.83725,77.75,76.5,0,0,2.208624821,28.4
22,19.75,43.825,29.88375,78.25,115.5,3,0,2.138752632,31.4,46.5,29.86,71.25,103,0,0,3.099514829,34.8
24,29,44.975,29.94225,61,270.5,9,0,3.966555762,29.025,44.7,29.9265,64.25,238,0.25,0,3.597246407,26.5
25,30,46.625,29.9565,57.75,283.25,9,0,4.574290733,31.9,44.9,29.94333333,56,142.3333333,0.666666667,0,4.459307125,27.525
50,41.925,54.1,30.12175,28.25,182.75,5,0,10.2591464,39.1,53.25,30.1105,29.5,316,1,0,9.767232145,26.475
51,43.125,56.55,30.12525,30.25,287.5,3.5,0,10.89246164,40.15,55.125,30.11625,26.75,284.75,1,0,10.87057987,34.975
52,44.8,57.55,30.1175,28,172,4.5,0,11.65982561,43.5,57.65,30.1215,25.75,104.25,0.75,0,12.06978596,39.175
53,45.86666667,59.5,30.09066667,26.66666667,221,4.333333333,0,12.73814503,45.05,60.625,30.1,24.75,161,1.25,0,13.61718102,40.5
54,45.63333333,61.53333333,30.06766667,27.33333333,125,3.666666667,0,13.5638722,46.175,63.2,30.079,25,224,1.5,0,14.85111238,45.65
55,49.4,62.925,30.05925,26.25,116,5.5,0,14.46112112,49.125,64,30.0635,24,208,1.5,0,15.47302434,47.675
56,51.55,63.525,30.0515,28.5,94.25,5.25,0,14.31792269,50.65,65.35,30.05475,25.25,149.5,1.25,0,15.95237081,48.275
57,51.225,64.175,30.04925,27,172.75,4.25,0,14.95323695,51.425,64.825,30.04725,26,190,1.25,0,15.50612064,50.275
58,50.35,64.05,30.0315,25.5,42.75,3.75,0,15.1944755,51.825,63.975,30.0375,27.25,154.5,0.75,0,14.79986061,50.2
59,47.15,63.325,30.01875,26.75,174,1.5,0,14.57389935,51.575,63.55,30.01775,27.75,132.25,0,0,14.48309659,50.7
60,36.65,57.625,30.01575,36,104.5,0,0,10.48192205,48.8,60.2,30.00275,32.5,119.25,0,0,12.04297696,50.45
61,23.15,52.05,30.03525,50.75,133.75,0,0,6.548354784,41.8,55.325,30.0065,40.5,119,0,0,8.893709068,44.425
62,25.825,50.5,30.03075,53.5,156.25,0,0,5.828053353,33.525,51.85,30.02575,49.75,119,0,0,6.632078411,33.05
63,21.625,47.5,30.0355,64,198.5,0,0,4.031031153,23.175,49.2,30.02225,60.5,115.75,0,0,4.716205763,22.3
64,16,45.325,30.04225,71.5,195,0,0,2.937827018,12.425,47.625,30.0305,63.75,105.5,0,0,4.082507239,21.825
65,13.4,44.275,30.04975,76.25,134.5,0,0,2.351784356,7.575,46.075,30.0395,71.75,105.75,0,0,2.994711749,17.25
66,9.525,42.6,30.03775,80.25,134,0,0,1.837789015,11.65,45.05,30.03875,75.75,106,0,0,2.474312387,14.1
67,11.275,41.95,30.035,80.5,135.5,0,0,1.771265468,11.75,43.7,30.02825,78.5,106,0,0,2.083414547,14.775
68,11.9,41.9,30.0325,80,135,0,0,1.807072352,10.375,42.85,30.023,81.25,106,0,0,1.757413363,11.85
69,11.825,42,30.0385,81.5,133,0,0,1.678276371,9.35,42.7,30.02225,82,106,0,0,1.677364731,6.8
70,10.775,43,30.04075,80.5,136.25,0,0,1.839202204,9.7,43.25,30.022,82.5,106,0,0,1.665084421,14.15
72,21.1,49.2,30.0535,73,131.25,0.75,0,3.227573041,10.4,48.4,30.0235,67,96,0,0,3.820408303,20.7
73,35.725,52.725,30.04425,56.75,130.25,4,0,5.879402286,29.8,52.05,30.02925,55,74,1.25,0,5.970133665,20.5
74,37.15,54.75,30.02075,51.5,124.5,5,0,7.108072954,30.9,53.425,30.00475,51.75,49.75,1.5,0,6.731607852,23.95
75,40.225,57.7,30.0005,45.25,150,7,0,8.916499582,37.175,55.75,29.985,45.75,60,2.5,0,8.239068428,31.275
76,42.4,59.6,29.97825,43.25,153.75,7.25,0,9.890175867,39.725,58.6,29.97125,42.25,67.5,2.5,0,9.722963787,33.575
77,43.95,61.05,29.942,40.75,144.25,7,0,10.87661642,40.85,61.125,29.9295,42,47.5,3,0,10.6785194,37.65
78,50.125,62.525,29.9045,36,134.5,9,0,12.38884141,44.7,62,29.90475,38.75,87.5,3.75,0,11.62601722,39.45
