Ozone,Temp,Pressure,RH,WindSpeed,WindDir,Rainfall,Rdate,VPD
20.95,62.9,30.1275,80.5,3.75,32.25,0,6/1/2015 12:00,3.821580286
20.15,63.5,30.12,80.25,2.75,57.75,0,6/1/2015 13:00,3.948593646
30.35,65.15,30.01875,80,5,151,0,6/3/2015 10:00,4.240901247
32.725,67.275,30.0225,76,4.25,170.75,0,6/3/2015 11:00,5.475666707
35.825,69.25,30.02075,73.5,4,198,0,6/3/2015 12:00,6.477020063
40.175,70.825,30.00825,71.75,4.5,202.5,0,6/3/2015 13:00,7.279169944
43.6,72.35,29.995,69.75,3.5,201.5,0,6/3/2015 14:00,8.219062013
43.1,73.825,29.979,67.5,4,251.25,0,6/3/2015 15:00,9.263833964
41.625,73.65,29.96275,68,3.5,217.5,0,6/3/2015 16:00,9.069895825
42.4,73.45,29.933,68.5,3.5,133,0,6/3/2015 17:00,8.866419768
23.9,69.575,30.011,86.5,1.75,194,0.0375,6/4/2015 10:00,3.334907462
25.15,71.1,30.014,85.5,2.5,180.75,0.05,6/4/2015 11:00,3.774115271
27.3,72.275,30.021,83.25,2.75,229.75,0.05,6/4/2015 12:00,4.532552211
24.85,72.525,30.011,85,2.75,196,0.05,6/4/2015 13:00,4.092977375
26.775,73.175,30.01025,85,3.5,231,0.05,6/4/2015 14:00,4.183940732
29.175,73.925,30.00625,85.25,3.5,258,0.05,6/4/2015 15:00,4.221600811
34.9,75.4,29.99775,81.5,5,272.5,0.05,6/4/2015 16:00,5.572202144
42.575,76.95,29.96925,77,5,290.5,0.05,6/4/2015 17:00,7.284047922
34.8,73.275,30.0235,86.75,3.25,278.75,0.15,6/5/2015 10:00,3.731914825
35.175,75.375,30.012,83.25,3,277.25,0.15,6/5/2015 11:00,5.037077203
50.675,78.7,29.999,74.25,5,299.25,0.15,6/5/2015 12:00,8.648114347
62.55,81.7,29.9745,65.5,4,291,0.15,6/5/2015 13:00,12.76462408
66.375,83.775,29.96975,58.25,4.25,27,0.15,6/5/2015 14:00,16.51262227
71.875,83.85,29.96675,58.5,3.75,237,0.15,6/5/2015 15:00,16.44109202
69.95,84.525,29.95675,55,4.25,307.25,0.15,6/5/2015 16:00,18.22631445
71.175,86.375,29.93025,53.5,1.75,252,0.15,6/5/2015 17:00,19.97845979
36.525,72.825,30.04275,70.5,1.25,64.25,0,6/6/2015 10:00,8.140231474
41.325,75.85,30.0365,66.75,1,159.75,0,6/6/2015 11:00,10.15244053
46.8,78.75,30.0145,62.75,1,116.25,0,6/6/2015 12:00,12.50800576
52.65,81.25,29.99775,58.25,1.75,197.5,0,6/6/2015 13:00,15.21619608
54.7,83.16666667,29.99066667,58,1.333333333,185,0,6/6/2015 14:00,16.27380868
55,84.6,29.977,58,2,18,0,6/6/2015 15:00,17.04554628
59.775,86.25,29.95175,55,1.5,147.5,0,6/6/2015 16:00,19.25338269
61.225,86.05,29.9275,55.25,2.5,128.25,0,6/6/2015 17:00,19.0257195
42.05,83.125,29.84375,71,7.25,212.75,0,6/7/2015 10:00,11.23477003
44.2,85.2,29.844,68.5,7,228.5,0,6/7/2015 11:00,13.04781549
47.475,86.675,29.83475,66.75,7.25,222.25,0,6/7/2015 12:00,14.42292624
48.8,87.8,29.82425,64.5,6.75,227.5,0,6/7/2015 13:00,15.9472909
47.8,89.325,29.80325,61.25,8,216.25,0,6/7/2015 14:00,18.27119009
44.95,89.9,29.791,61,8.25,230,0,6/7/2015 15:00,18.73167488
43.025,90.05,29.771,59,7.75,194.75,0,6/7/2015 16:00,19.77895899
41,90.075,29.736,59,9,206.5,0,6/7/2015 17:00,19.79259689
30.075,70.7,29.80275,95.75,1,220.25,0.62,6/8/2015 10:00,1.091889996
30.025,73.175,29.79825,93.25,2.5,211,0.62,6/8/2015 11:00,1.893414372
37.65,75.3,29.7945,87.75,3.5,277.25,0.62,6/8/2015 12:00,3.689188588
49.675,79.175,29.78275,79.25,4.75,266.5,0.62,6/8/2015 13:00,7.113656488
59.475,82.4,29.7705,62.75,7,300.25,0.62,6/8/2015 14:00,14.12847666
62.3,83.73333333,29.76033333,53.33333333,8.333333333,299.3333333,0.62,6/8/2015 15:00,18.42289869
63.65,84.45,29.754,50.5,8.5,300.5,0.62,6/8/2015 16:00,19.99141737
54.03333333,82.4,29.758,53.66666667,5.666666667,302,0.62,6/8/2015 17:00,17.53000751
48.7,81.2,29.8485,60.5,2.75,302.25,0,6/9/2015 10:00,14.37269682
58.45,83.275,29.847,58.25,3.5,250.5,0,6/9/2015 11:00,16.25545139
75.25,85.275,29.83375,52,4.5,298,0,6/9/2015 12:00,19.91720724
83.325,87.15,29.8205,44.25,5,300.75,0,6/9/2015 13:00,24.5932343
81.775,88.5,29.8105,41.5,3.75,224,0,6/9/2015 14:00,26.87609191
79.375,88.7,29.80425,37.75,3,228,0,6/9/2015 15:00,28.77686979
76.575,89.225,29.796,39.75,3.5,270,0,6/9/2015 16:00,28.32810674
77.3,90.525,29.782,36,2,315.5,0,6/9/2015 17:00,31.33487457
54.475,84.925,29.8175,63.75,3,220,0,6/11/2015 11:00,14.8877031
68.375,87.875,29.805,57,6,190.5,0,6/11/2015 12:00,19.39376462
65.075,88.95,29.78975,56,6.75,198.75,0,6/11/2015 13:00,20.51373367
59.55,89.65,29.7785,50.5,8.5,210.5,0,6/11/2015 14:00,23.57821682
39,85.475,29.808,69.25,6.25,246.25,0,6/12/2015 10:00,12.83959163
