Wavelength,SBS1.1,SBS1.2,SBS1.3,SBS2.1,SBS2.2,SBS2.3,SBS3.1,SBS3.2,SBS3.3,SBS4.1,SBS4.2,SBS4.3,SBS5.1,SBS5.2,SBS5.3,SBS6.1,SBS6.2,SBS6.3,SBS7.1,SBS7.2,SBS7.3,SBS8.1,SBS8.2,SBS8.3,SBT1.1,SBT1.2,SBT1.3,SBT2.1,SBT2.2,SBT2.3,SBT3.1,SBT3.2,SBT3.3,SBT4.1,SBT4.2,SBT4.3,SBT5.1,SBT5.2,SBT5.3,SBT6.1,SBT6.2,SBT6.3,SBT7.1,SBT7.2,SBT7.3,SBT8.1,SBT8.2,SBT8.3
350,26.945875,31.92525,40.878375,26.347875,21.801125,28.616625,28.168125,30.436875,31.3605,28.634625,30.4105,21.370375,24.078875,24.9845,28.616625,19.550125,34.069,26.81375,29.07375,29.07375,22.751125,25.450625,31.386875,24.545,91.84675,21.093625,21.962,22.1585,24.35125,23.77225,23.306375,20.99125,24.07175,26.274,25.4155,23.49275,31.16475,30.007375,29.7275,29.242,25.499125,24.640625,24.547125,23.78175,31.74375,24.06225,21.962,26.842875
351,23.469,24.324,39.189,21.951,17.073,23.171,24.39,25.61,30.488,28.049,18.293,23.171,20.732,20.732,23.171,20.732,28.049,25.61,24.39,24.39,29.268,24.39,37.805,24.39,87.603,20.408,17.347,14.286,25.51,27.551,17.347,25.51,19.388,23.469,19.388,21.429,27.551,31.633,25.51,29.592,28.571,24.49,22.449,20.408,25.51,26.531,17.347,28.571
352,25.553375,32.464625,35.027125,19.806,24.921125,17.9485,26.893125,26.57875,36.12425,25.95025,19.977375,27.207875,26.29325,16.262,22.577875,21.66325,23.635875,24.264375,24.578125,23.035,29.49425,29.979375,31.92375,25.35,89.573625,25.69425,16.170125,17.59975,23.74125,27.084125,18.747625,26.963125,20.801125,26.19775,18.868625,22.85525,24.506625,23.4605,23.74125,31.071375,24.24475,24.003125,23.882125,17.962375,26.963125,24.7685,17.458875,22.31225
353,26.25413333,36.16553333,32.29426667,21.24726667,26.72866667,16.531,28.15633333,28.91733333,37.3044,25.44006667,22.05786667,28.062,31.062,14.292,20.9628,22.29613333,24.72453333,23.2018,24.44006667,24.9628,27.72866667,32.11086667,26.823,24.0124,89.25413333,26.39186667,17.11333333,20.1376,24.05466667,27.6288,20.41253333,29.20966667,23.02366667,27.835,18.28206667,23.711,22.1304,19.9314,23.77973333,30.3094,21.649,24.5358,25.5668,19.79393333,27.28513333,24.26086667,18.07586667,18.83193333
354,24.87946667,33.20686667,31.70493333,28.06793333,19.47533333,20.821,27.55966667,33.31066667,31.8004,27.31273333,24.73253333,24.142,34.642,16.072,17.8148,22.48146667,34.06586667,22.5638,23.81273333,31.8148,22.97533333,29.05553333,22.893,19.2284,85.49946667,20.20653333,21.23666667,21.5116,27.49133333,29.6908,22.47386667,32.64633333,26.46033333,27.835,17.59473333,23.711,20.7564,23.3674,26.52906667,26.1854,21.649,26.5978,27.6288,28.04126667,25.91046667,25.63553333,19.45053333,19.51926667
355,21.4823125,35.5834375,33.5691875,25.3283125,21.703125,22.0470625,31.5314375,32.0158125,27.171875,27.78125,31.1875,26.140625,27.3123125,19.8595625,23.40625,29.3439375,37.0626875,28.5935625,25.3908125,32.21875,20.3439375,26.8279375,27.84375,23.2033125,89.879375,23.3725,21.31375,20.7214375,28.7569375,30.843125,19.9884375,27.4595,25.9371875,27.5723125,20.1016875,21.6235625,20.2708125,24.584,25.9371875,25.486125,26.6423125,24.753125,24.611875,28.023375,27.8548125,21.933375,19.2274375,16.8593125
356,20.5806875,38.7084375,35.3314375,23.5799375,24.3913125,21.134375,33.8735,31.166875,25.47825,28.4565625,35.22825,27.6413125,21.9526875,24.666875,28.184875,32.243,37.3951875,31.7026875,25.199625,31.163,20.6018125,25.2026875,31.97825,27.1018125,94.08125,26.169,20.297,20.0399375,29.3331875,29.8466875,18.7284375,23.802625,24.316125,26.82425,21.94975,20.63825,21.8350625,25.1139375,26.51025,26.51025,28.991125,22.6058125,22.3485625,26.0264375,29.7321875,19.7826875,18.984875,16.5615625
357,26.0263125,42.1965625,36.2195625,26.6230625,25.6956875,16.025625,31.2285,32.833125,30.40575,29.9784375,32.65575,26.4456875,24.0183125,31.333125,28.801125,24.163,33.1558125,26.2683125,20.308375,28.373,27.0511875,24.7683125,31.90575,28.5511875,95.75875,25.679,17.777,20.1730625,28.8638125,24.0723125,21.5065625,25.951375,21.159875,25.01175,21.43225,22.76575,27.9519375,24.6170625,30.66775,30.66775,23.874875,20.7651875,23.1604375,21.5545625,30.5928125,22.5683125,19.111125,22.6434375
358,25.62125,40.7304375,35.289,29.2391875,22.79875,20.652125,29.6195,28.125,31.05975,28.3695625,31.05975,25.9238125,28.2338125,26.874625,24.4294375,20.9781875,29.8098125,28.859,21.8479375,26.738875,27.5545,26.3586875,29.8098125,28.1796875,93.0363125,24.42425,18.7618125,17.4948125,25.7816875,23.94125,22.19125,24.58525,17.9323125,24.26325,17.6558125,20.60225,26.8176875,21.63825,28.4521875,31.9521875,20.87875,21.4323125,20.60225,21.4323125,25.2286875,21.47725,17.7713125,22.51325
359,23.20725,36.9895625,33.7239375,31.5195,19.465125,28.2408125,28.668875,21.716375,30.436625,26.332875,30.0941875,26.504125,32.601375,18.7801875,19.9788125,20.5479375,27.41575,33.7698125,25.648,26.1616875,26.0760625,28.840125,26.7308125,27.8438125,89.116125,23.20725,20.740125,14.572375,22.1381875,26.677625,22.072375,22.072375,15.4440625,24.60525,13.4375,16.990125,22.9440625,18.3881875,24.342125,31.842125,19.523,22.8125,17.2533125,22.7466875,18.1908125,18.9966875,16.1841875,20.2631875
