Wavelength,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7,SBS8,SBT1,SBT2,SBT3,SBT4,SBT5,SBT6,SBT7,SBT8
350,27.237625,26.34825,23.207375,18.76125,18.435,30.61575,15.383125,17.604875,28.185875,27.26775,17.871875,23.91775,21.843875,25.54825,25.8745,21.10275
351,26.087,25.217,24.348,20,19.13,26.087,20,13.913,22.609,32.174,19.13,21.739,25.217,26.087,26.957,21.739
352,21.00075,24.413875,26.22425,21.38875,19.46,25.80825,20.320625,20.708625,20.23025,27.02275,19.994375,24.712125,21.20825,24.740125,23.463875,24.17775
353,18.53886667,22.9264,25.86306667,22.10253333,18.502,25.25513333,20.2042,23.12253333,18.735,23.78666667,19.989,26.5272,19.81046667,24.2168,21.47626667,23.5346
354,20.01353333,20.4124,22.14573333,21.80386667,15.612,24.29046667,19.4322,18.96386667,18.565,23.42333333,18.679,26.6052,22.32913333,24.9288,21.74693333,18.2686
355,20.359,22.2821875,22.026,22.026,17.2805,24.046625,20.006375,17.730125,17.730125,27.539375,19.6533125,25.5853125,22.3790625,23.437375,21.0646875,20.262
356,21.813875,24.4080625,23.2024375,23.0186875,20.24075,24.5918125,21.0785,19.0359375,19.587375,30.88225,21.0785,25.2856875,22.83475,22.651,21.813875,23.753875
357,26.150125,25.9949375,26.4705625,25.6743125,25.03325,26.7911875,22.9635,25.5090625,27.898625,31.25975,22.9635,26.9513125,24.87725,24.081,26.150125,28.860125
358,28.2853125,24.5228125,25.0740625,25.72725,23.3188125,26.6796875,22.46675,25.0740625,25.524375,32.49825,23.2695625,24.27125,25.576625,25.025375,25.4756875,25.524375
359,29.292,21.998,21.8800625,24.5789375,19.594875,25.1438125,21.020375,21.9390625,19.594875,33.5333125,22.858625,20.2776875,25.851375,25.7334375,23.3303125,19.477
360,28.632,21.798,20.5006875,22.6583125,22.883625,19.7019375,20.214125,21.1496875,22.883625,29.4164375,22.084875,21.2245625,27.485125,26.1878125,27.2734375,21.587
361,28.723,21.71166667,20.164,22.29133333,22.149,17.98733333,20.45366667,20.79333333,23.59833333,25.775,21.422,23.74066667,29.013,27.17533333,27.32266667,22.341
362,29.565,21.739,20.87,23.478,17.391,20,21.739,20.87,21.739,22.609,20.87,27.826,30.435,28.696,23.478,21.739
363,27.346875,19.330875,18.496875,21.507375,19.732875,21.219375,18.314625,20.02125,23.395875,26.26275,21.0375,26.69475,28.689375,26.512875,22.0155,24.412125
364,25.151,18.86575,19.19575,19.379,19.98875,22.47825,16.14225,19.33325,23.74375,26.6045,20.55275,23.45925,26.5585,24.54125,20.17675,24.21125
365,22.9885,21.315125,24.502625,17.014,17.115625,23.796375,15.847875,18.886375,22.128125,21.97825,19.089625,17.067375,23.84975,22.886875,17.773625,19.699375
366,21.35,19.8955,21.775,19.062,17.623,22.102,17.9665,18.751,21.694,21.318,17.312,16.8875,23.5245,21.7095,19.438,20.19
367,20.4628,18.6864,18.31093333,21.61606667,18.3706,20.1812,19.43,18.55846667,21.61606667,22.555,16.25193333,17.93533333,23.11073333,20.5226,21.5222,21.5222
368,22.0568,22.1884,19.9356,21.7814,16.6986,20.3672,15.86,17.8258,21.7814,27.415,18.3766,17.682,19.9594,18.8206,21.2182,21.2182
369,22.675875,21.8219375,20.2379375,19.467625,16.2985,21.1755,16.7564375,17.4034375,22.279875,27.1785625,17.8830625,17.7158125,20.0705625,19.9869375,21.5715,20.9463125
370,22.771,20.0463125,20.0463125,16.74475,16.6985,22.101625,19.330625,17.1826875,23.0025,25.0115625,16.7910625,18.2686875,21.5711875,22.42575,22.19425,20.8545625
371,21.911,20.5094375,20.5094375,19.90225,19.3935,21.687875,19.776875,17.5795625,24.4575,25.1271875,20.4116875,22.3855625,22.9930625,25.25325,22.70675,22.2601875
372,21.86333333,21.37,19.91,20.89,21.37,21.37666667,21.11933333,17.448,24.576,25.549,20.16733333,22.86533333,23.34533333,25.80733333,21.39133333,22.12133333
373,22.628,22.628,18.248,19.708,22.628,21.168,23.358,16.788,23.358,26.277,16.058,19.708,22.628,24.088,18.248,20.438
374,22.516125,19.539875,16.19675,20.996125,19.114875,21.118,21.51425,19.0505,21.08925,26.86075,18.35175,22.27175,21.2405,22.213,23.849875,22.119875
375,22.13475,17.7355,16.688,20.6315,17.391,20.28625,20.93525,19.94175,19.59725,26.3685,19.10075,23.1555,20.273,20.61725,25.87175,22.81025
376,21.349125,17.85675,20.993,17.78775,18.351,18.281875,22.253375,18.776125,19.270375,24.26225,17.532625,21.51925,19.9355,19.440375,22.523625,22.013375
377,18.67733333,18.34446667,18.98626667,18.33846667,17.74406667,19.2538,18.38686667,15.92593333,18.6594,22.94393333,17.1262,18.98026667,19.8776,19.26526667,20.50146667,19.2892
378,16.6530625,18.0785625,16.4423125,18.961375,16.9038125,20.6224375,15.3739375,13.8180625,17.72225,22.0069375,16.7984375,17.4305,20.160125,19.804,19.3826875,17.8518125
379,17.2399375,15.8404375,16.3266875,17.772625,16.4331875,21.1805625,17.3770625,14.4249375,16.18975,21.5000625,15.9765625,18.7155,21.073875,21.424,19.5983125,20.5411875
380,16.856,15.91006667,15.2476,16.856,14.9956,18.4486,14.6334,13.84446667,16.20926667,19.962,16.20926667,18.00713333,21.98033333,19.50526667,18.55886667,16.9352
381,16.4555,16.654125,14.083,16.2495,13.198375,15.440875,11.314,13.4805,16.448125,18.34725,16.5855,16.928875,22.337625,16.722875,17.8135,12.60325
382,17.653,16.13975,14.228,16.417,11.62025,16.97025,13.829,16.018,14.90375,18.1935,15.728,17.78825,20.51075,16.55225,20.396,16.1595
383,18.432,14.50975,14.208,15.217625,12.693375,17.54225,14.368875,15.014375,14.208,18.796125,13.984375,16.975875,18.005875,15.58175,19.946625,16.08575
384,18.932,12.136,14.078,13.107,15.534,17.476,13.592,11.65,14.078,19.903,11.65,15.049,15.049,14.078,17.476,13.592
385,18.916,13.56933333,13.93666667,12.49233333,13.02133333,16.46933333,14.61466667,13.12733333,16.45733333,18.679,11.44666667,15.66033333,14.54033333,14.77666667,16.18933333,15.45533333
386,17.7414375,14.0775625,12.6944375,12.87625,12.1009375,15.2325625,15.01975,13.66725,17.8473125,16.7985625,12.6634375,15.7188125,13.834125,14.8981875,15.4300625,15.522
387,15.4083125,13.6606875,10.3513125,14.25875,12.7728125,13.7656875,14.80725,13.26975,18.2479375,14.2616875,15.3003125,15.2244375,12.930375,14.4425625,15.1981875,13.792
388,15.6154,11.8112,12.0016,11.6676,11.727,13.8566,14.3234,12.792,16.179,15.6034,13.2708,14.9338,12.8634,15.0768,13.1152,14.7656
389,15.80075,10.93075,13.118,9.86625,11.711,14.57875,12.793,12.252,14.25425,16.27,11.1875,14.15525,13.1315,15.81425,12.378,14.62375
390,15.530125,11.742625,12.768,9.911875,13.526,15.988125,9.738,11.632,12.957375,15.2775,9.80125,12.610875,13.76275,16.524875,13.968,12.358125
391,14.5048,11.553,13.85053333,11.48366667,12.26446667,16.37453333,11.11313333,10.5112,14.06493333,15.39046667,11.94106667,13.23746667,13.12153333,15.0606,13.52066667,13.0522
392,13.914875,11.2706875,14.96925,12.728,11.0965,16.1988125,13.261625,10.1945625,15.4483125,15.6988125,13.8595,13.7070625,12.554625,13.8385625,13.4140625,14.08825
393,14.781125,11.3563125,15.33675,12.318,11.9415,15.3081875,14.630375,12.0464375,16.0726875,15.8181875,13.2045,12.5439375,12.903375,14.4504375,15.2909375,14.19575
394,15.78125,10.9344375,13.221,11.565875,11.565875,13.6895625,13.6895625,12.1435,15.072625,15.3670625,12.0231875,12.437375,12.8946875,15.203625,14.4955625,13.4068125
395,16.40726667,10.41173333,10.4582,10.75993333,10.69026667,12.03786667,11.82886667,11.52706667,13.38626667,14.78033333,10.99226667,12.78173333,12.73533333,15.77953333,12.68886667,12.3406
396,13.14993333,10.93906667,11.4502,10.78926667,10.02293333,12.89653333,10.59753333,11.25773333,11.78893333,15.17366667,13.34493333,13.10906667,12.59866667,14.21486667,12.08753333,12.2366
397,11.2334,10.44,11.2334,9.9806,10.1036,12.8192,8.9382,9.5652,11.19,15.4486,12.6968,11.8192,12.4016,12.5286,10.8582,11.6922
398,10.3666875,9.402125,10.1793125,8.7310625,10.4036875,12.1245,7.1985625,7.3348125,11.177,15.448875,10.1623125,9.6445,12.073375,11.02075,9.5724375,10.8504375
399,10.9035625,9.673375,8.8424375,8.5416875,8.1905625,11.4895,7.3041875,8.8029375,10.447,13.687625,8.6554375,9.2095,10.927125,11.84825,11.5468125,9.9748125
400,11.039,9.427666667,8.181666667,8.285666667,7.220666667,11.35133333,7.793,8.778,9.375666667,12.129,8.234333333,9.351333333,10.02533333,12.54633333,11.24433333,9.246333333
401,10.773,8.665,8.197,7.963,7.494,11.71,8.665,7.26,7.963,10.773,8.899,10.07,9.368,13.115,8.665,8.665
402,9.72175,7.510625,8.238875,7.118625,7.459,11.10625,7.510625,7.241875,8.538625,10.367375,9.019,8.425,8.678,11.761875,8.801875,8.673125
403,8.884866667,6.965733333,7.925333333,6.411466667,7.118,10.44986667,6.764133333,7.0166,8.5312,9.9448,8.784066667,7.723066667,8.48,10.75213333,8.682666667,8.6324
404,8.369533333,7.335066667,7.078666667,5.910133333,6.318,9.714533333,6.629466667,6.4806,7.6492,9.4968,8.016733333,8.435733333,9.02,10.25746667,8.179333333,8.5184
405,8.411375,7.2865,7.3241875,6.625,6.4860625,9.9036875,5.33125,6.4669375,7.471,9.1105625,7.43375,7.986125,9.3513125,10.2535625,8.8360625,7.884875
406,8.4088,7.1814,7.4702,6.9652,6.5324,9.8882,4.6188,6.4596,7.5424,8.8058,7.1816,7.5062,9.2032,10.2852,9.2386,7.3262
407,8.158133333,7.052733333,7.100866667,6.115866667,6.043733333,9.155533333,5.5748,6.3316,8.013733333,8.675133333,7.6536,7.256866667,7.990533333,10.27253333,8.747266667,7.076866667
408,8.366,6.9995,7.0915,6.0925,6.0925,9.642,6.094,6.1805,7.8155,8.728,7.819,8.007,7.727,10.089,8.2695,7.4585
409,8.570666667,6.9396,7.074133333,6.3542,6.2794,10.27566667,6.438,6.194733333,7.5666,8.829,7.785066667,8.779133333,7.9496,10.00746667,7.9844,7.81
410,8.304,6.7776,6.6648,6.9302,6.4814,10.279,6.518,6.8934,7.7846,8.939,7.2604,8.6398,9.1676,10.5048,8.4564,7.41
411,8.990733333,6.7766,6.322666667,6.8874,5.968466667,10.17593333,6.1458,6.356333333,7.64,9.389666667,7.8618,7.862066667,9.423333333,10.90646667,8.836,7.164466667
412,9.50575,6.80075,6.30625,6.513375,5.27875,10.277625,5.78075,5.7115,7.63775,9.844875,8.70375,7.2335,9.2985,11.224875,9.011125,7.25775
413,7.6995,6.6495,7.4775,5.87525,5.1075,11.38075,6.2195,6.754,8.8265,9.73425,8.5775,8.296,9.301,11.37425,8.52675,8.4415
414,8.453,7.001,7.8152,5.5816,5.309,11.5884,6.5798,7.2742,9.3144,9.6996,8.1638,8.4326,8.9336,11.2032,8.657,9.0822
415,10.55086667,7.5482,7.499666667,5.556466667,5.745933333,11.181,6.812733333,7.383066667,9.2694,9.625,7.572533333,8.025266667,8.4416,10.87393333,9.213466667,9.3058
416,9.389533333,6.8402,6.306333333,5.881133333,6.065266667,10.611,6.370066667,6.923733333,8.6334,8.735,7.107866667,8.277933333,9.0476,11.04326667,9.918133333,9.0338
417,8.76975,6.9215,6.4665,5.78225,5.896,10.72425,5.9575,6.606125,8.244375,8.3055,7.026625,7.99875,8.75225,10.7495,9.873375,8.64675
418,8.511,7.529,7.529,5.401,5.401,11.293,5.565,6.383,8.02,8.183,7.201,7.365,7.856,10.147,9.329,8.183
419,7.235666667,6.126333333,6.811,5.026333333,5.123666667,10.31366667,4.787666667,5.353666667,7.463333333,8.593,6.799,6.756333333,7.897333333,10.225,8.095,7.713
420,6.8555,5.560625,6.4295,4.8730625,4.729375,9.805875,4.4893125,4.9543125,7.09625,8.5714375,6.48925,6.470125,7.9258125,10.3930625,7.7045625,7.3383125
421,7.3705,5.831875,6.3845,4.9411875,4.218125,9.769625,4.6699375,5.1849375,6.91875,8.1183125,6.27175,6.506375,7.9414375,10.6511875,8.1576875,7.0589375
422,6.8328,5.7162,5.8544,5.2816,4.5474,9.9484,4.6154,5.526,6.6244,7.5852,6.4342,6.468,7.3928,9.8916,7.7776,6.9578
423,6.532533333,5.535933333,5.591466667,5.337066667,4.765,9.986266667,4.536866667,5.763066667,6.362933333,7.246933333,6.2506,6.447733333,7.131866667,9.414933333,7.4468,6.735133333
424,6.763866667,5.323266667,5.810133333,4.919733333,4.675,9.776933333,4.461533333,5.825733333,6.170266667,7.214266667,5.4846,6.467066667,7.396533333,9.532266667,7.3288,6.300466667
425,6.9706,5.2378,5.7492,4.8282,4.9234,9.537,4.5386,5.3898,6.5362,7.1402,5.6396,6.124,6.8656,9.4522,7.1226,6.4586
426,7.1365,5.2045,5.60275,4.759,4.95975,9.29625,4.488,5.1535,6.76625,7.16075,5.8475,5.971,6.7115,9.3205,7.01325,6.51925
427,7.24525,5.22825,5.374625,4.669,4.621625,9.059375,4.2205,5.29975,6.699375,7.330125,5.98125,6.1635,7.25525,9.14425,7.063875,6.334875
428,7.2702,5.044733333,4.8858,4.5694,4.421733333,8.849866667,4.292333333,5.2426,6.539333333,7.6728,5.355733333,6.1604,7.1112,9.0482,7.027066667,6.2564
429,7.0528,4.9648,4.6592,4.582,4.4092,8.8758,4.3124,5.098,6.4788,7.8202,5.0624,6.2492,6.9392,9.009,7.016,6.2874
430,6.3188,5.247466667,5.196533333,4.862,4.7532,9.435133333,4.013733333,4.868,6.7048,7.410866667,5.987066667,6.666533333,7.1032,9.055666667,7.116,6.512066667
431,6.347,5.3695,5.468,4.7315,4.5355,9.1705,4.151,5.079,6.9325,7.1725,5.9515,6.438,7.076,8.7815,7.0265,6.3415
432,6.550933333,5.437133333,5.634266667,4.6262,4.303533333,8.7976,4.376133333,5.2456,7.1178,7.0584,5.746466667,6.141733333,6.992266667,8.66,6.893266667,6.181333333
433,6.6956,5.4478,5.6456,5.0322,4.5762,8.8156,4.5168,4.7936,7.1318,7.2704,5.8238,6.2204,6.8736,9.47,6.7746,6.458
434,6.711466667,5.4286,5.809066667,5.041066667,4.546933333,8.9218,4.907133333,4.593133333,6.831266667,7.3494,5.777,6.034933333,6.6266,9.580933333,6.802933333,6.2848
435,6.696125,5.34775,5.936125,4.9425,4.390375,9.026,5.176875,4.64725,6.511625,7.37025,5.726625,5.77675,6.498875,9.3335,7.001375,6.009
436,6.77675,5.0715,5.65675,5.095,4.24225,8.971,4.53625,5.2885,6.65475,7.3865,5.87475,5.6805,7.06825,8.851,7.62825,6.094
