Wavelength,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7,SBS8,SBT1,SBT2,SBT3,SBT4,SBT5,SBT6,SBT7,SBT8
350,24.955997,23.158249,23.802114,25.255741,24.034496,21.360249,24.889259,28.406744,29.746109,27.926235,26.595133,26.355488,31.616379,48.179501,39.33812,43.908886
351,24.231001,22.691999,21.153999,23.077,23.077,21.153999,27.308001,26.923,25.333,24,28.667,23.333,32.667,48.667,38,46.667
352,26.842239,22.240751,21.19025,24.041996,22.858252,22.373995,24.208012,27.378624,27.72924,24.624998,26.375134,23.941122,33.083248,49.066372,40.725616,41.371395
353,28.61113,21.566006,21.414131,24.217007,22.726999,21.994818,22.550131,27.449869,29.033669,24.377876,25.444527,24.757727,32.088753,49.491062,41.198086,37.964405
354,29.116463,20.556005,21.919464,23.207006,22.726999,19.216818,23.055464,26.944536,28.700335,22.822542,26.555861,25.88706,28.978086,49.953732,38.290752,37.390404
355,27.56333,20.791372,22.51112,23.008125,21.362389,20.551107,22.796629,25.299892,28.824499,25.459784,26.839685,25.067385,28.084818,47.409714,38.829117,40.017223
356,26.033445,21.113186,22.639883,22.926188,19.92976,21.366449,22.620686,24.486738,28.998373,27.321133,26.056023,23.187029,28.173298,45.64962,38.890888,42.002441
357,25.091555,21.313814,21.666117,22.906813,18.69224,19.904551,22.836313,25.909262,29.169626,26.284866,22.995977,19.336971,29.977701,46.498383,36.947109,41.660561
358,24.395557,21.303123,21.800131,23.487696,18.426001,20.726892,23.487696,24.591227,28.08436,24.837797,24.350843,20.170465,30.235058,43.912273,35.795681,40.705738
359,23.71493,21.052616,22.359688,24.157309,18.633316,22.139612,24.025301,22.337687,26.704191,23.45813,26.907728,22.767628,29.707678,40.462887,35.308514,39.52887
360,22.22431,19.458872,22.476563,23.310436,19.35644,20.055872,21.858433,22.234562,27.516064,24.269377,23.255243,23.173876,28.084558,42.491631,37.743504,38.717625
361,22.940001,19.223,21.92,22.614334,19.582001,19.917334,20.746666,22.489666,27.056334,24.891666,21.861666,25.757668,27.489334,43.722668,39.177334,36.580334
362,25.862,20.344999,20.690001,22.069,19.309999,21.724001,20.690001,23.103001,25.325001,25.325001,22.726999,30.518999,27.922001,44.155998,39.610001,33.117001
363,22.770136,20.496874,21.647497,22.164625,19.087502,20.401505,22.668743,24.390495,25.831873,23.701256,20.951382,23.8734,27.516376,43.547253,36.515636,34.435745
364,21.241743,20.338755,21.125521,21.63726,18.455259,18.726517,22.935768,24.135519,26.312496,22.440006,20.309242,20.045998,27.033754,42.912754,33.889015,35.104504
365,22.058615,19.715631,18.384281,20.175392,17.208389,16.522776,20.635151,21.56678,26.753744,21.722507,21.367363,20.445995,26.435633,42.239632,31.964022,34.798252
366,21.455999,17.841499,18.400999,18.705999,17.674999,16.948999,19.8575,21.158501,24.834,21.115499,21.387501,19.502001,25.658001,42.52,34.811001,34.759998
367,20.693733,16.414152,18.794523,17.696476,18.001509,17.613588,19.623472,21.154394,23.14962,21.130695,21.534821,18.573206,24.831591,42.328163,37.347626,34.454979
368,20.7124,18.02482,17.937189,18.53381,16.054176,16.601587,20.040806,20.606394,24.76762,23.524029,23.228821,19.049206,23.98959,39.294163,33.870956,32.81498
369,21.08288,18.456812,18.870892,19.366882,16.747955,16.836571,20.018124,20.550501,24.566553,23.537615,22.792862,19.315376,24.634762,38.400188,34.354019,31.767368
370,21.511497,18.424501,20.398062,20.058372,18.300869,17.704636,19.877565,20.809319,23.653498,22.473928,21.776699,19.448874,25.916882,38.53257,36.204742,31.464024
371,21.106499,18.759501,20.358688,19.492125,17.399624,19.460878,20.373188,22.002439,23.348499,20.893309,23.753567,19.197624,27.195627,39.64819,35.092247,35.574009
372,21.757334,18.856333,19.890667,18.951334,16.792667,19.704666,20.264999,22.328667,23.797333,20.671667,23.764334,19.452333,27.244667,41.342999,35.435333,38.029335
373,23.464001,18.715,18.993999,18.436001,16.48,18.436001,19.552999,21.788,25,21.809,21.809,20.212999,26.063999,43.617001,37.234001,38.830002
374,22.470879,17.760628,18.515877,18.144127,16.43375,19.283497,19.539249,20.703005,25.158125,23.961493,22.382748,18.94363,25.240879,42.871376,37.005875,37.288757
375,20.930017,16.879005,18.254999,17.703005,15.87601,18.951265,19.172007,19.622259,24.602262,24.068022,22.173512,18.337248,24.009014,41.112774,35.664524,35.392769
376,18.567528,16.106508,18.32,17.038008,14.551015,16.8494,18.274509,18.547888,22.975393,21.105534,20.789766,18.72537,22.164021,37.834663,32.653286,32.964653
377,19.157383,15.129613,17.521812,16.972198,14.701994,16.400734,17.760073,17.987938,21.869211,20.871927,20.646332,18.944332,22.600321,35.655289,32.132065,29.845974
378,19.747633,14.504872,16.417135,16.910254,14.722696,16.062883,16.949326,17.757435,20.868383,21.027191,21.001307,18.988503,23.384499,34.639805,32.202999,28.336605
379,18.616365,14.821127,15.100865,16.507748,13.578303,15.019117,15.223675,17.995564,19.809616,20.497808,21.795694,18.723497,23.649502,35.699196,32.202999,30.985395
380,18.178999,14.719996,15.000005,15.210513,13.725475,15.29401,15.686483,17.968998,20.47575,19.434118,20.711443,17.596783,23.108789,35.635727,30.801575,30.015968
381,17.940992,14.350616,15.08561,13.823873,14.068863,15.563352,16.348225,17.708242,21.449991,18.099983,18.649969,16.249992,22.04998,35.099995,29.300005,28.150009
382,17.310995,13.623744,13.83374,13.613249,12.983242,13.550235,14.054482,16.964495,20.699995,16.599989,15.899979,15.499994,20.299986,34.599995,29.800003,28.900005
383,17.525127,13.286124,13.356626,14.186754,12.583876,12.847751,13.800379,16.501623,19.62937,16.609755,15.589755,14.49087,19.534,33.100616,29.001743,27.962116
384,18.302,13.208,13.396,15.283,12.642,13.019,14.906,16.226,18.344999,17.625999,16.906,13.309,19.424,30.934999,27.337999,25.899
385,17.106001,12.022,13.248667,14.618333,12.150666,12.487667,14.280666,14.826667,18.236334,17.592667,16.948668,14.941667,19.202,30.917667,26.284666,24.996334
386,16.220501,11.763686,12.918126,13.957563,11.631251,11.895126,13.417377,13.664502,18.586685,17.352251,16.209064,15.103315,18.848188,30.69775,25.793625,25.141247
387,15.645503,12.433059,12.404378,13.300692,11.083754,11.241379,12.316132,12.739506,19.396057,16.904753,14.687196,13.793945,18.362566,30.275253,25.864874,26.333744
388,14.818805,12.4568,11.790804,12.750803,10.828001,11.319999,12.078801,12.862398,17.84741,15.778208,15.018597,13.988197,17.211807,28.968208,25.178404,25.070009
389,14.131753,12.057757,11.557497,12.4275,10.646251,11.335752,12.101998,12.602258,17.029745,15.166998,15.087504,13.650761,16.670496,28.1845,24.896746,23.885756
390,13.69613,11.132135,11.911246,12.42625,10.526876,11.135127,12.371997,11.592887,17.701618,15.441997,14.453757,12.265141,17.154245,28.333248,25.348619,23.230133
391,13.77593,11.096865,11.419875,12.824927,10.410201,11.48486,12.02654,12.341919,16.955481,14.939142,14.547263,12.068532,16.528345,28.033937,24.973408,22.340078
392,14.030747,11.360372,11.031497,12.969818,10.290001,11.732815,11.668375,12.969818,16.005941,14.65087,14.454632,12.018065,16.309801,28.093241,24.270321,21.598751
393,14.393252,11.801628,11.376503,12.289183,10.159999,11.422185,11.639625,12.289183,15.409058,15.31713,13.503367,11.614934,17.689198,29.250759,23.284679,21.341248
394,14.565876,11.703872,11.263872,12.220189,10.314378,10.809243,11.533436,12.528631,16.186388,15.11887,12.719681,12.3642,17.433617,29.18412,23.500008,21.177811
395,14.614064,11.332995,11.007668,12.304661,10.510063,10.081863,11.341529,12.971259,17.274324,14.442257,12.099001,13.279921,16.406656,28.424719,23.857182,20.989395
396,14.274732,10.582995,11.224335,11.411328,9.98073,9.49053,10.676863,11.693926,15.857658,12.794923,12.299002,11.249254,14.743323,26.152052,20.859182,20.213396
397,13.506193,9.868596,10.530993,10.513595,9.422997,9.022798,10.264998,10.773796,14.513792,11.534794,12.314199,10.515401,14.962809,25.281401,19.76,19.814999
398,12.488559,9.224874,9.263807,9.689437,8.810682,8.609308,9.96162,10.099372,13.436505,10.595873,12.191624,10.448239,16.046986,25.207054,19.822121,19.572369
399,11.804186,9.003625,8.291936,9.553812,7.877561,7.942436,9.117873,9.493124,14.321502,10.224625,11.937875,8.600746,13.616996,23.887686,18.943373,18.466124
400,10.986333,8.523666,7.597333,9.323,7.305,7.321667,8.507667,9.068,13.849667,10.293,11.126,7.963666,12.042666,22.511999,18.084999,17.575001
401,10.035,7.785,7.18,8.997,7.093,6.747,8.131,8.824,12.021,10.801,9.756,8.537,11.324,21.08,17.247,16.899
402,9.936875,7.288752,7.346874,8.550752,6.269253,6.424501,7.466002,8.105878,11.217878,9.131006,9.218502,7.994502,10.860877,20.558126,16.628878,15.827129
403,9.678269,6.878735,7.231536,8.029138,5.691801,6.247533,7.118732,7.564602,10.7384,8.406329,9.083464,7.648734,10.549667,20.080469,16.201468,14.95547
404,9.178936,6.598068,6.69287,7.394471,5.483801,6.288867,7.248066,7.288602,10.7444,9.099663,9.552131,7.598067,10.466333,19.669136,16.060135,14.384137
405,9.127875,6.519938,6.587813,7.485686,5.626686,5.952691,7.045565,7.120377,9.964821,8.297697,8.411013,7.382627,10.140191,19.415939,15.593192,14.540185
406,9.050403,6.415403,6.585598,7.561402,5.704202,5.638402,6.849601,7.059598,9.566392,7.695997,7.589596,7.241799,9.914399,19.240801,15.206202,14.538207
407,8.79507,6.196736,6.710932,7.412735,5.538202,5.473069,6.754934,7.221598,10.261058,7.94933,7.931596,7.317799,9.985732,19.2068,15.090201,13.978873
408,8.9145,6.3445,6.636,7.4825,5.6285,5.661,6.6685,7.222,10.241,8.1555,7.8145,7.1405,10.177,19.4095,15.64,14.495
409,9.070199,6.528266,6.564269,7.63267,5.785736,5.871466,6.647536,7.175999,10.027463,8.347269,7.719939,6.893597,10.372134,19.618999,16.212999,14.995792
410,8.996199,6.4896,6.705602,7.886003,5.954402,5.818799,6.880203,7.105999,9.754797,8.528603,8.174605,6.621597,10.462801,19.618999,16.212999,14.359793
