Wavelength,SLSC SBS1,SLSC SBS2,SLSC SBS3,SLSC SBS4,SLSC SBS5,SLSC SBS6.1,SLSC SBS6.2,SLSC SBS7,SLSC SBS8,SLSC SBT1,SLSC SBT2,SLSC SBT3,SLSC SBT4,SLSC SBT5,SLSC SBT6,SLSC SBT7,SLSC SBT8,SWIC SBS1,SWIC SBS2,SWIC SBS3,SWIC SBS4,SWIC SBS5,SWIC SBT1,SWIC SBT2,SWIC SBT3,SWIC SBT4,SWIC SBT5,SWIC SBT6
350,16.42725,11.68275,12.71875,12.95775,15.15075,13.6765,13.635875,13.79525,15.38975,18.691125,25.1625,20.77425,40.455125,42.553375,40.7505,11.881875,12.120875,23.77425,20.050125,17.9785,25.006875,20.35825,20.162875,23.6625,25.426375,23.410125,18.594,20.162875
351,17.021,11.064,12.34,11.489,13.617,14.894,11.064,11.489,12.766,20.213,31.915,20.213,39.362,46.809,38.298,12.34,11.489,20.388,19.417,17.476,16.505,18.447,23.301,16.505,19.417,19.417,15.534,23.301
352,16.372875,10.2965,11.03125,13.273375,16.377,13.525875,11.833375,13.273375,13.496,21.07425,33.985,26.0455,36.777625,40.990875,35.668625,13.080625,12.50525,24.584875,23.636375,17.06725,18.455625,15.095125,23.92475,17.2875,18.3795,19.547625,23.348375,18.0835
353,16.09146667,10.7984,10.76306667,13.99226667,17.2578,12.90233333,12.15366667,13.65626667,13.5796,21.28806667,31.59073333,29.8482,35.83313333,38.10613333,36.21206667,13.50366667,12.867,25.57126667,24.36773333,17.25533333,19.8292,15.29066667,24.55073333,18.4586,17.941,19.57026667,26.51513333,15.36686667
354,16.36013333,13.2044,12.05573333,13.11293333,15.3198,13.39566667,11.80033333,11.93693333,12.6936,20.53073333,22.50006667,30.6062,37.34846667,39.62146667,41.51473333,13.45033333,12.247,21.74193333,19.86706667,18.33866667,20.3372,20.80733333,25.18006667,20.2126,18.401,19.43093333,22.71046667,16.40153333
355,14.2928125,12.023,12.9455,13.0671875,15.7059375,14.72525,13.0075625,12.2706875,12.8834375,19.83625,29.4058125,27.3345625,35.7613125,37.3604375,31.7011875,13.9878125,13.4365625,24.685625,19.8585625,23.97975,21.419625,16.73075,24.1118125,18.010875,18.2979375,21.5629375,22.26925,19.1526875
356,13.7141875,11.0105625,13.1393125,13.0409375,16.809125,15.5985625,14.5216875,12.8580625,13.8115625,20.0864375,33.84525,24.236375,36.024125,38.4238125,24.8891875,14.79025,14.3621875,27.992625,20.164125,26.93825,22.4303125,14.4189375,24.2926875,16.465,19.1478125,23.2509375,23.0554375,19.7346875
357,17.2148125,11.3224375,11.8136875,12.8440625,18.982875,15.1904375,16.3473125,13.5049375,16.1834375,22.5245625,28.38275,22.587625,41.407875,48.2231875,28.9998125,16.05775,14.2028125,30.391375,20.037875,22.45575,23.1246875,18.7120625,27.8283125,17.475,22.3671875,23.3140625,25.8335625,14.8103125
358,16.755625,10.8774375,11.89025,14.07825,17.931375,15.970125,15.579875,15.2000625,15.3773125,24.2994375,31.3093125,22.5235,46.0754375,51.2150625,35.5158125,15.525375,12.2155625,25.9515625,19.204625,23.3094375,25.05675,22.6845,30.667875,21.9320625,24.5593125,23.5653125,23.4518125,18.4373125
359,14.9259375,10.210875,12.5251875,15.62125,15.7364375,16.9810625,13.7698125,16.837,13.4509375,25.458875,36.559875,22.984125,48.5795625,50.7046875,41.7234375,14.3766875,9.86325,19.0515,18.3225,25.8465625,26.9125,25.645,32.5081875,26.7109375,25.645,23.3805625,19.8579375,24.7815625
360,16.0353125,10.469625,12.7770625,14.42375,15.6908125,15.4916875,12.5779375,13.907,13.7003125,23.637625,30.368625,22.055375,34.3751875,44.9315625,35.8778125,14.6235625,11.27575,16.3865,19.7275,22.9521875,23.3075,20.735,28.0400625,21.0903125,20.735,18.5461875,25.2573125,22.5971875
361,16.17766667,9.970666667,12.33633333,12.951,16.25433333,14.534,12.414,11.75233333,13.366,21.17966667,25.98333333,21.84066667,29.175,41.50533333,34.02666667,13.56566667,12.55233333,17.44333333,23.04766667,20.39733333,20.06066667,16.56366667,25.28466667,19.594,18.584,17.15,25.03533333,22.41733333
362,15.353,8.714,11.203,11.203,17.427,14.108,13.278,10.373,12.448,18.085,23.404,22.34,32.979,40.426,36.17,11.203,13.693,22.222,28.283,18.182,17.172,13.131,24.242,22.222,19.192,19.192,19.192,24.242
363,14.058,8.394625,10.793,11.76925,16.30075,13.103,13.036125,10.48175,13.213,22.258125,23.062125,18.49625,30.224,38.969125,35.5875,10.793,12.947375,20.352625,26.231125,18.837625,19.0595,15.140375,23.513875,20.352625,18.615125,20.41825,22.822,22.912625
364,12.876,8.5375,10.38375,12.262,14.899,12.1135,13.02525,10.64875,13.611,22.17725,22.43125,17.431,28.63975,39.629,34.12075,10.8255,12.29025,19.6865,23.79375,19.0285,19.53,18.39975,23.0095,19.24775,18.7455,19.37425,22.91675,20.095
365,11.8635,9.37375,9.975625,12.6445,13.084,11.14725,13.360875,10.903125,13.4585,15.715375,21.366875,20.5335,28.811625,43.464,31.327625,11.52175,11.765875,20.82525,20.778125,18.52225,17.875,23.534125,22.84075,19.289625,19.93675,14.924875,17.708625,15.045
366,11.4785,9.4215,10.2625,11.178,13.8355,11.291,11.365,10.9585,12.0295,16.342,17.9685,21.012,27.4665,40.3765,31.4715,10.98,12.641,18.1265,20.8875,16.4105,13.972,19.8805,21.4035,17.649,15.2875,13.4175,18.7335,16.2175
367,11.1676,9.261733333,10.99126667,9.639266667,14.82333333,11.6332,9.5728,11.05686667,10.81353333,17.90566667,16.48166667,21.5124,26.27846667,36.54533333,32.5324,10.4814,13.0938,14.95106667,21.05333333,15.0356,10.79106667,15.61773333,20.66666667,16.31106667,10.90226667,13.2044,20.13773333,18.39106667
368,10.5256,9.0604,12.7926,9.6606,14.19,11.6592,10.9268,11.5262,11.7262,16.129,24.975,24.7244,27.2358,36.662,34.3244,11.3934,10.4578,13.7064,18.32,18.2136,12.7464,17.7064,24,17.8664,13.4136,15.2264,16.8264,18.3464
369,11.7850625,9.24325,12.72575,10.0664375,13.84775,11.788625,11.750375,11.93825,12.8719375,17.3665625,26.0285,24.2149375,29.54425,34.704625,36.4068125,12.236625,11.111625,15.2619375,20.428625,19.9549375,14.55625,17.36875,24.647375,18.780125,15.378,14.551125,18.0795625,17.016125
370,13.623375,9.74,11.8711875,10.7,13.6885,12.109875,12.3654375,12.1918125,13.921375,19.6305625,24.2206875,22.4305625,32.27525,32.448875,38.250375,12.9396875,12.9830625,17.7744375,24.0405625,21.0161875,16.479625,16.534,23.931875,19.23225,16.69175,13.672625,20.853125,15.6153125
371,13.337125,11.58,11.1330625,11.9,14.0535,13.758625,13.1498125,11.2399375,13.205125,19.5061875,25.3575625,23.5261875,33.59775,35.507625,36.824125,12.6465625,13.1236875,18.0988125,22.5061875,21.4980625,19.985875,20.584,21.310625,18.00475,14.25925,21.368875,19.704375,18.5384375
372,13.32566667,11.70166667,11.241,12.74666667,14.601,14.484,13.093,11.241,12.39733333,19.252,26.718,24.54,32.90233333,37.58433333,35.39466667,11.58533333,13.09333333,17.63366667,19.665,19.95233333,20.527,21.682,22.52866667,17.341,15.01733333,23.99533333,18.78766667,18.793
373,13.589,10.105,12.195,13.24,15.331,14.286,12.195,12.195,11.498,18.868,28.302,25.472,30.189,38.679,33.962,9.756,12.892,16.379,15.517,16.379,18.103,19.828,27.586,17.241,18.966,21.552,18.103,16.379
374,11.87525,9.298125,11.988125,12.591875,15.071,11.92475,12.62375,12.835625,13.209875,17.871125,25.953875,24.3245,34.048375,38.368375,33.190125,11.285375,12.037625,17.079625,16.756375,17.079625,21.37175,12.643625,28.052875,14.7985,21.17475,21.102625,23.976125,20.72525
375,11.45375,8.9705,11.6265,11.73325,14.06225,10.757,12.38925,13.086,13.9225,17.995,24.65875,23.1705,35.136,36.701,33.2145,12.02825,11.151,17.10225,18.04925,17.85975,22.2345,10.60575,25.60575,15.1135,21.60975,20.17025,25.1705,21.85575
376,12.970625,9.36175,11.03275,10.558875,11.930375,11.3795,11.159875,12.751,13.13625,19.8,24.943125,22.00675,32.066,32.9985,34.43325,11.591375,10.216,16.107875,19.422375,18.759125,19.48825,16.287625,18.787625,19.56475,19.384125,18.513375,19.34675,18.162625
377,12.74973333,8.874666667,10.3076,10.628,12.22133333,11.32746667,11.35026667,10.68666667,12.0158,18.5626,21.61706667,22.10146667,31.79226667,31.77,30.51113333,9.986666667,10.34153333,16.9874,18.75513333,18.7694,17.66593333,18.79786667,17.6944,16.53393333,18.0334,16.57666667,17.31266667,17.6944
378,11.955,8.4326875,9.7155,11.0168125,12.7035,11.2435,11.3530625,9.08375,11.1941875,17.2238125,17.650125,21.206,31.1868125,30.842,27.5978125,8.9055625,10.790125,18.11625,18.6230625,18.0435,16.3624375,19.7973125,18.749625,12.5465,17.555625,15.1144375,16.2356875,18.3695625
379,10.835,8.6083125,9.5105,11.4261875,12.2185,11.4785,10.0899375,9.56625,11.2648125,17.4231875,14.293875,17.266,28.1761875,29.172,30.0371875,9.7274375,11.373875,18.73375,20.9299375,16.1185,15.7305625,19.1216875,21.478375,10.6915,18.604375,14.9225625,15.1813125,19.8314375
380,11.402,7.828933333,9.484,10.48033333,12.1178,11.46826667,9.376866667,9.8706,10.58693333,14.79546667,17.06326667,16.94593333,28.06306667,29.4522,30.57113333,10.13406667,11.2214,18.57506667,20.99573333,17.42586667,16.1206,15.31166667,20.37666667,10.30066667,17.9222,17.392,17.392,17.99033333
381,12.0905,6.869,9.54425,9.312375,12.02225,10.968375,9.015875,10.039875,9.70975,11.841875,20.37325,17.60625,28.428625,30.551875,29.4685,10.14,10.571,18.25825,19.758375,19.4815,16.614625,11.636,18.342125,10.856625,16.95025,19.842375,19.92625,15.223625
382,10.373,6.824,9.6455,9.57925,11.2885,8.93025,9.12025,9.97425,9.3185,12.43125,15.3445,15.9825,25.74175,31.58625,25.086,9.255,9.191,18.6395,17.15025,18.989,15.77275,13.871,19.14275,12.68975,17.7865,17.65425,18.1575,14.41675
383,9.98225,7.289375,9.000125,9.44675,11.068125,8.643375,9.11925,9.9675,9.65475,13.04125,13.690375,17.502375,25.898125,30.0155,23.201,8.866875,8.881625,18.6645,15.200625,15.539625,13.66525,15.25475,18.637625,13.076875,17.57575,15.174375,15.59375,14.166
384,10.476,8.095,7.857,9.048,11.19,9.524,9.048,10,10.476,13.665,14.286,21.118,27.95,26.708,22.981,8.81,9.286,18.452,13.69,10.119,10.714,16.071,17.262,12.5,16.667,12.5,12.5,14.286
385,9.476666667,7.987,8.325,8.861333333,10.27133333,8.742,8.861333333,8.622,10.17266667,15.787,14.54466667,17.90866667,27.07,28.468,24.327,8.642666667,9.497333333,14.846,12.89666667,13.51766667,13.354,14.777,17.348,12.5,16.063,10.68866667,15.39866667,12.73333333
386,9.18825,7.32425,8.1165,8.56175,10.0035625,8.1544375,8.8633125,8.168625,10.026625,15.2501875,14.712125,16.6299375,26.120625,27.5108125,25.159375,8.478375,9.437375,12.949875,12.7296875,16.5891875,14.530875,14.463125,17.16475,12.5765625,15.8906875,11.014875,15.5658125,12.9691875
387,9.61075,6.10675,7.2315,8.14925,10.3866875,7.7613125,9.0539375,8.639875,10.037875,12.0545625,14.788375,17.2818125,25.101875,23.8364375,25.478125,8.317125,9.106125,12.763625,13.1890625,19.3335625,14.244625,15.129375,16.71225,12.7296875,16.1500625,13.478625,13.0014375,14.9935625
388,9.5108,6.9138,7.1508,8.3282,9.8196,8.0604,8.149,7.8818,8.9872,10.8476,16.6878,14.0158,23.8462,23.5416,25.2808,8.1792,8.149,11.0092,13.8656,15.8232,11.5976,14.65,14.6468,13.078,12.6774,12.5838,13.3738,12.5806
389,9.07725,7.18525,6.9025,8.3235,9.65325,7.846,7.761,7.42825,8.27775,11.357,17.65025,12.2495,23.19775,23.45175,24.0815,8.13675,7.761,10.483,13.8085,13.3165,10.978,13.68475,13.81175,12.69775,12.21425,12.085,14.1815,11.098
390,8.230375,6.315875,6.26875,7.94475,10.246375,6.746,8.331,7.636375,8.257125,14.1095,16.903375,13.38575,23.499625,23.106125,21.46525,8.233625,8.331,12.0605,12.61475,13.35775,13.793,12.181625,15.091125,11.192125,16.887375,12.74,15.15275,11.7505
391,7.631133333,6.631066667,6.317466667,7.541533333,10.17033333,6.810266667,8.647133333,7.347866667,8.138866667,11.66426667,17.18013333,13.72873333,23.4768,23.51646667,21.6876,7.825266667,7.7058,12.40746667,12.96053333,13.14573333,14.71333333,12.45273333,16.0046,10.6094,16.3308,12.08593333,15.72833333,11.0714
392,7.5446875,6.9354375,6.6076875,7.5446875,10.4125,7.2729375,8.482,7.2354375,8.0691875,9.35275,16.567875,14.5456875,23.227,23.8596875,22.06175,7.3664375,7.2729375,12.7820625,13.72025,13.2029375,14.2175,13.2029375,16.6281875,11.0029375,15.3655625,12.1315625,15.154875,11.0029375
393,8.5103125,6.5235625,7.0633125,8.5103125,11.7875,7.9860625,7.342,7.8235625,8.1698125,10.38525,13.284125,16.9313125,22.637,23.6053125,21.13425,7.0845625,7.9860625,13.9389375,14.54775,14.0360625,11.5225,14.0360625,16.7888125,13.1360625,16.4974375,14.5734375,12.131125,13.1360625
394,9.0646875,6.371125,7.157125,8.309125,11.2291875,7.551625,7.296625,7.607125,8.0551875,11.2396875,11.9245,17.32675,22.8638125,22.812375,21.0909375,7.4641875,7.971625,14.0405625,12.18325,13.6118125,11.1738125,15.5420625,16.1190625,12.252625,15.04675,13.7568125,11.0315,12.252625
395,9.3422,6.372266667,7.112133333,7.6152,9.9028,6.7998,7.741866667,7.1812,7.874066667,11.8746,11.6238,16.7006,23.194,21.83193333,21.428,7.984133333,7.730333333,13.79553333,9.018333333,12.70693333,11.8792,16.91173333,15.1974,10.3324,12.85186667,11.9662,10.76073333,10.3034
396,8.7142,6.754933333,7.213466667,6.9872,9.1208,7.6178,8.380533333,7.9732,7.924733333,11.2206,13.4318,14.5566,21.304,21.24126667,21.778,7.215466667,8.253666667,14.50086667,10.96166667,12.32626667,13.0212,14.45906667,15.2114,10.7164,13.92053333,13.9782,10.52806667,10.3974
397,8.1822,6.3536,6.6808,6.5492,8.628,7.6326,7.868,7.362,7.3342,10.3402,14.6106,11.9842,19.7012,20.9166,20.3664,7.13,8.003,13.9694,10.7086,11.926,11.752,13.1864,13.911,10.028,12.7524,13.3318,10.0858,9.767
398,7.6713125,5.405,5.8145625,6.2193125,8.2158125,7.0431875,6.5851875,5.8934375,6.404625,9.422125,14.9586875,9.5994375,18.3871875,20.726125,18.108375,7.3386875,7.2513125,12.7179375,9.231875,11.34925,9.1698125,12.635125,11.8879375,8.6725,10.456625,10.9751875,9.48175,8.5896875
399,6.7744375,4.235,5.7501875,5.7224375,6.7939375,5.8350625,5.2770625,5.1278125,6.270875,9.523375,11.6055625,11.4738125,17.9490625,20.147375,18.802125,6.0955625,6.6344375,12.4073125,9.920625,9.30175,9.2379375,11.496375,11.2473125,7.7475,11.432875,9.1770625,8.67925,6.8365625
400,6.09,3.523,5.174,5.181666667,5.894,5.36,4.682333333,4.899666667,5.668333333,8.962,9.694666667,11.74633333,16.681,18.39733333,17.32933333,5.385666667,5.885666667,11.26666667,9.003,8.054,8.998333333,9.82,10.38333333,7.110333333,10.952,8.711,8.617333333,5.757333333
401,5.618,3.269,4.086,4.597,5.516,5.618,4.801,5.209,4.597,7.738,9.226,10.417,14.583,15.476,13.69,5.209,5.005,9.296,6.479,7.606,8.451,7.606,9.296,6.761,9.014,9.577,9.296,5.352
402,5.017375,3.47775,4.2785,4.360125,5.309125,4.798,4.491625,4.424625,4.415125,6.9605,8.49225,9.42575,15.04675,16.192875,14.224375,4.424625,4.7325,8.8385,6.36525,8.67725,8.04975,7.732875,8.209125,6.6285,8.57525,8.472,7.421625,6.572625
403,4.652466667,3.431533333,4.288933333,4.223866667,5.189,4.267066667,4.331066667,3.902266667,4.331066667,6.412933333,8.063466667,9.142733333,14.47646667,16.06326667,13.90446667,3.9236,4.5026,8.715733333,6.5538,8.396,7.850066667,7.6002,7.852466667,6.363933333,8.093866667,7.475133333,6.429,7.605266667
404,4.641133333,3.002866667,4.026266667,4.238533333,5.199,4.169733333,4.393733333,3.772933333,4.393733333,6.210266667,8.092133333,9.922066667,12.35513333,14.66393333,12.30313333,3.8476,4.3366,9.095066667,7.1958,6.086,7.952733333,7.0782,8.591133333,5.901266667,7.548533333,6.640466667,6.759,8.355933333
405,4.9071875,3.2699375,4.111375,3.95875,5.0228125,4.138625,4.1575625,3.66325,4.200875,6.18325,8.046625,9.7811875,12.521,14.46325,13.0356875,4.0846875,4.1225625,8.36125,7.791,7.3011875,7.3504375,6.815625,8.031625,6.5525,7.6441875,7.6083125,6.9624375,7.804375
406,5.053,3.5106,4.1212,3.831,4.9302,4.1824,3.938,3.6026,3.9996,6.237,7.7912,9.1174,13.1984,14.0774,14.0198,4.3506,3.9838,8.1218,7.8676,8.5234,6.6296,6.7564,7.6398,6.9804,7.7306,8.4364,7.0674,7.3318
407,4.846333333,3.509266667,3.8652,4.134333333,5.080866667,4.383733333,3.834666667,3.651266667,3.844933333,6.433666667,7.0652,7.472066667,14.4764,12.94873333,14.9858,4.6026,4.033133333,9.324466667,6.746266667,8.848066667,5.814933333,7.1044,7.9758,6.5984,7.629266667,8.471066667,6.9754,7.381133333
408,4.7595,3.416,4.1095,3.991,5.067,4.337,3.9165,3.84,4.032,6.071,7.315,7.54,14.1685,13.164,14.5055,4.529,4.3015,8.2115,6.469,7.8855,6.255,7.4585,8.1145,6.0265,8.2295,7.8895,6.3545,7.567
409,4.738266667,3.350733333,4.3634,3.806466667,5.048866667,4.410933333,4.0182,4.007533333,4.250533333,5.9698,7.863066667,8.028733333,13.59366667,13.8734,13.8836,4.395533333,4.529866667,7.0856,6.548133333,7.023866667,6.869466667,7.729133333,8.236533333,5.781133333,8.873733333,7.191666667,6.0036,7.543933333
410,4.8596,3.4894,4.1554,3.9038,5.1782,5.2156,4.0142,3.9502,4.2532,7.4738,8.6284,8.4874,13.537,15.2154,14.1416,4.3482,4.3792,8.2236,7.2088,7.8532,6.9268,7.6598,8.4892,7.0318,8.9924,6.645,7.2616,6.5486
411,5.004266667,3.6976,4.190066667,4.143466667,5.368666667,5.033266667,4.263133333,3.912,4.391666667,7.449,8.8356,8.377666667,13.5438,15.21853333,13.9166,4.743266667,4.6658,8.327933333,7.378533333,7.8598,7.3528,6.949266667,9.102133333,6.825533333,8.464266667,7.658866667,7.502266667,6.540266667
412,5.07325,3.84175,4.265875,4.41175,5.498375,4.51425,4.493375,3.873125,4.503875,7.031125,8.608,8.10225,13.61325,14.74525,13.823125,5.156375,5.000625,8.06975,7.27275,7.742375,7.804,6.294125,9.754375,6.20675,8.008,8.782625,7.535,6.9745
413,4.7995,3.6105,4.09025,4.5505,5.28025,4.3405,4.21525,3.79875,4.27825,7.66175,7.598,8.1385,13.8245,14.6615,15.08375,4.88325,4.77875,8.1335,6.9065,8.53925,7.724,6.95975,9.94625,6.4355,8.948,7.67075,8.48,7.487
