Wavelength,SLSC SBS1,SLSC SBS2,SLSC SBS3,SLSC SBS4,SLSC SBS5,SLSC SBS6.1,SLSC SBS6.2,SLSC SBS7,SLSC SBS8,SLSC SBT1,SLSC SBT2,SLSC SBT3,SLSC SBT4,SLSC SBT5,SLSC SBT6,SLSC SBT7,SLSC SBT8,SWIC SBS1,SWIC SBS2,SWIC SBS3,SWIC SBS4,SWIC SBS5,SWIC SBT1,SWIC SBT2,SWIC SBT3,SWIC SBT4,SWIC SBT5,SWIC SBT6,,,,,
346.2,16.402,13.757,15.344,19.048,15.344,17.989,17.46,15.873,17.989,25,30,23.75,30,50,37.5,15.873,17.989,21.839,17.241,18.391,16.092,12.644,20.69,27.586,25.287,21.839,33.333,27.586,,,,,
347.8,14.286,15.238,17.143,15.238,15.238,14.762,14.762,13.81,16.667,15.663,24.096,28.916,43.373,39.759,34.94,14.762,17.619,26.596,21.277,15.957,21.277,25.532,18.085,25.532,21.277,21.277,34.043,25.532,,,,,
349.4,16.071,12.054,12.946,13.839,16.071,12.946,15.179,15.179,16.964,17.778,21.111,21.111,41.111,40,42.222,11.607,12.5,25.806,20.43,18.28,30.108,21.505,18.28,27.957,29.032,25.806,20.43,18.28,,,,,
351,17.021,11.064,12.34,11.489,13.617,14.894,11.064,11.489,12.766,20.213,31.915,20.213,39.362,46.809,38.298,12.34,11.489,20.388,19.417,17.476,16.505,18.447,23.301,16.505,19.417,19.417,15.534,23.301,,,,,
352.6,15.984,9.836,10.246,14.344,18.033,12.705,12.295,14.344,13.934,21.591,35.227,29.545,35.227,37.5,34.091,13.525,13.115,27.103,26.168,16.822,19.626,13.084,24.299,17.757,17.757,19.626,28.037,14.953,,,,,
354.1,16.387,13.445,12.185,13.025,15.126,13.445,11.765,11.765,12.605,20.455,21.591,30.682,37.5,39.773,42.045,13.445,12.185,21.359,19.417,18.447,20.388,21.359,25.243,20.388,18.447,19.417,22.33,16.505,,,,,
355.7,12.664,10.917,13.537,13.1,16.157,15.721,13.974,12.664,13.1,19.355,35.484,24.731,34.409,35.484,23.656,14.41,14.41,27.273,20.202,28.283,22.222,13.131,23.232,16.162,18.182,23.232,22.222,21.212,,,,,
357.3,18.265,11.416,11.416,12.785,19.635,15.068,16.895,13.699,16.895,23.256,26.744,22.093,43.023,51.163,30.233,16.438,14.155,31.111,20,21.111,23.333,20,28.889,17.778,23.333,23.333,26.667,13.333,,,,,
358.9,14.815,10.185,12.5,15.741,15.741,17.13,13.889,17.13,13.426,25.641,37.179,23.077,50,51.282,42.308,14.352,9.722,19.318,18.182,26.136,27.273,26.136,32.955,27.273,26.136,23.864,19.318,25,,,,,
360.5,16.59,10.599,12.903,13.825,15.668,14.747,11.982,12.442,13.825,22.727,27.273,21.591,27.273,42.045,32.955,14.747,11.982,15.054,20.43,21.505,21.505,18.28,25.806,18.28,18.28,16.129,27.957,21.505,,,,,
362,15.353,8.714,11.203,11.203,17.427,14.108,13.278,10.373,12.448,18.085,23.404,22.34,32.979,40.426,36.17,11.203,13.693,22.222,28.283,18.182,17.172,13.131,24.242,22.222,19.192,19.192,19.192,24.242,,,,,
363.6,13.281,8.203,10.547,12.109,15.625,12.5,12.891,10.547,13.672,24.762,22.857,16.19,28.571,38.095,35.238,10.547,12.5,19.231,25,19.231,20.192,16.346,23.077,19.231,18.269,21.154,25,22.115,,,,,
365.2,11.661,9.541,9.894,12.721,12.721,10.954,13.428,10.954,13.428,14.423,21.154,21.154,28.846,44.231,30.769,11.661,11.661,21.053,20.175,18.421,17.544,24.561,22.807,19.298,20.175,14.035,16.667,14.035,,,,,
366.8,11.296,9.302,10.631,9.635,14.95,11.628,9.302,10.963,10.631,18.261,14.783,20.87,26.087,36.522,32.174,10.299,13.621,15.2,21.6,14.4,10.4,15.2,20,16,10.4,12.8,20.8,18.4,,,,,
368.3,10.333,9,13.333,9.667,14,11.667,11.333,11.667,12,15.596,27.523,25.688,27.523,36.697,34.862,11.667,9.667,13.333,17.5,19.167,13.333,18.333,25,18.333,14.167,15.833,15.833,18.333,,,,,
