"","Rdate","Ozone","Temp","Pressure","RH","WindDir","WindSpeed.mph.","Rainfall","VPD","site"
"38",2015-04-21 09:00:00,31.5,49.8,29.834,55.75,111.5,1.75,0,5.40874642420891,1
"39",2015-04-21 10:00:00,35.3,55.275,29.832,45.25,144.25,2.25,0,8.19568777842356,1
"40",2015-04-21 11:00:00,39.75,58.8,29.82925,39.5,142.75,2.25,0,10.2626344395422,1
"41",2015-04-21 12:00:00,41.4,60.8,29.82325,35.5,181.25,2.5,0,11.7362181584974,1
"42",2015-04-21 13:00:00,43.025,62.85,29.8045,33.5,129.75,2,0,13.0066653540834,1
"43",2015-04-21 14:00:00,44.675,64.55,29.79175,32.5,146.25,2.75,0,14.0109365745735,1
"44",2015-04-21 15:00:00,44.8,64.8,29.7835,32.5,160,3,0,14.1344591303219,1
"45",2015-04-21 16:00:00,44.725,66.55,29.7585,33,101,3.5,0,14.9116104702922,1
"46",2015-04-21 17:00:00,45.75,67.525,29.736,30.75,120.25,2.75,0,15.9360442556553,1
"47",2015-04-21 18:00:00,46.15,67.3,29.72025,32.25,121.25,2,0,15.4681949782176,1
"48",2015-04-21 19:00:00,45.75,66.4,29.71325,32.25,167.25,1.75,0,14.9980882509099,1
"49",2015-04-21 20:00:00,44.8,64.9,29.7175,33.5,120,1,0,13.97370978517,1
"50",2015-04-21 21:00:00,38.975,59.025,29.7125,45,105,0,0,9.43898264437549,1
"51",2015-04-21 22:00:00,37.15,56.875,29.722,57.5,86.75,0.5,0,6.7206950675311,1
"52",2015-04-21 23:00:00,42.15,55.8,29.722,68.5,92.75,0.75,0,4.79016710261056,1
"53",2015-04-22 00:00:00,44.575,55.025,29.7305,72.5,112,1,0,4.06630812850634,1
"54",2015-04-22 01:00:00,39.25,54.025,29.7735,53.25,184.25,1,0,6.64863712705266,1
"55",2015-04-22 02:00:00,36.975,50.8,29.79175,55,302.75,0.75,0,5.71522686776857,1
"56",2015-04-22 03:00:00,31.8,47.2,29.79675,64.5,201,0,0,3.93374153447567,1
"57",2015-04-22 04:00:00,25.8,45.75,29.8205,72.5,74,0,0,2.88268636557487,1
"58",2015-04-22 05:00:00,21.1,44.3,29.83725,77.75,76.5,0,0,2.20862482107225,1
"59",2015-04-22 06:00:00,31.4,46.5,29.86,71.25,103,0,0,3.09951482862965,1
"61",2015-04-22 08:00:00,29.025,44.7,29.9265,64.25,238,0.25,0,3.59724640683223,1
"62",2015-04-22 09:00:00,31.9,44.9,29.9433333333333,56,142.333333333333,0.666666666666667,0,4.45930712475906,1
"63",2015-04-23 10:00:00,39.1,53.25,30.1105,29.5,316,1,0,9.76723214543617,1
"64",2015-04-23 11:00:00,40.15,55.125,30.11625,26.75,284.75,1,0,10.8705798721138,1
"65",2015-04-23 12:00:00,43.5,57.65,30.1215,25.75,104.25,0.75,0,12.0697859640332,1
"66",2015-04-23 13:00:00,45.05,60.625,30.1,24.75,161,1.25,0,13.6171810236637,1
"67",2015-04-23 14:00:00,46.175,63.2,30.079,25,224,1.5,0,14.8511123828582,1
"68",2015-04-23 15:00:00,49.125,64,30.0635,24,208,1.5,0,15.4730243431434,1
"69",2015-04-23 16:00:00,50.65,65.35,30.05475,25.25,149.5,1.25,0,15.9523708135354,1
"70",2015-04-23 17:00:00,51.425,64.825,30.04725,26,190,1.25,0,15.5061206352746,1
"71",2015-04-23 18:00:00,51.825,63.975,30.0375,27.25,154.5,0.75,0,14.7998606106142,1
"72",2015-04-23 19:00:00,51.575,63.55,30.01775,27.75,132.25,0,0,14.4830965949219,1
"73",2015-04-23 20:00:00,48.8,60.2,30.00275,32.5,119.25,0,0,12.0429769649477,1
"74",2015-04-23 21:00:00,41.8,55.325,30.0065,40.5,119,0,0,8.89370906838064,1
"75",2015-04-23 22:00:00,33.525,51.85,30.02575,49.75,119,0,0,6.6320784114117,1
"76",2015-04-23 23:00:00,23.175,49.2,30.02225,60.5,115.75,0,0,4.71620576345759,1
"77",2015-04-24 00:00:00,12.425,47.625,30.0305,63.75,105.5,0,0,4.08250723927735,1
"78",2015-04-24 01:00:00,7.575,46.075,30.0395,71.75,105.75,0,0,2.99471174899502,1
"79",2015-04-24 02:00:00,11.65,45.05,30.03875,75.75,106,0,0,2.47431238674872,1
"80",2015-04-24 03:00:00,11.75,43.7,30.02825,78.5,106,0,0,2.08341454700481,1
"81",2015-04-24 04:00:00,10.375,42.85,30.023,81.25,106,0,0,1.75741336321465,1
